Category,Symbol,Name,Current Price,Currency,Price Change %,Perf % 30M,Perf % 1H,Perf % 4H,Perf % 6H,Perf % 1D,Perf % 1W,Perf % 1M,Perf % 3M,Perf % 6M,Perf % YTD,Perf % 1Y,Perf % 5Y,Perf % 10Y,RSI 1H,RSI 4H,RSI 24H,RSI 1W,RSI 1M,RSI 3M,RSI 6M,RSI YTD,Market Status,Type
Commodities,GOLD,Gold,4573.36,USD,-1.69%,N/A,N/A,N/A,N/A,N/A,-3.02%,-5.18%,-8.89%,11.65%,5.18%,41.28%,147.61%,258.01%,24.23,28.57,21.68,24.23,37.98,41.60,41.58,41.58,TRADEABLE,COMMODITIES
Commodities,OIL_CRUDE,Crude Oil Spot,99.399,USD,1.00%,N/A,N/A,N/A,N/A,N/A,7.60%,12.73%,58.39%,67.20%,73.21%,61.94%,51.71%,105.75%,62.85,60.00,58.56,62.85,57.26,54.53,54.50,54.50,TRADEABLE,COMMODITIES
Commodities,SILVER,Silver,78.572,USD,-5.90%,N/A,N/A,N/A,N/A,N/A,-2.16%,-1.09%,2.98%,54.64%,8.15%,140.89%,186.02%,356.33%,21.99,31.31,19.22,21.99,47.07,49.40,49.24,49.25,TRADEABLE,COMMODITIES
Commodities,OIL_BRENT,Brent Oil Spot,104.955,USD,0.69%,N/A,N/A,N/A,N/A,N/A,5.71%,13.50%,55.93%,65.10%,72.88%,63.27%,51.82%,112.98%,60.53,55.86,55.03,60.53,56.27,53.20,53.17,53.17,TRADEABLE,COMMODITIES
Commodities,NATURALGAS,Natural Gas,3.0771,USD,0.03%,N/A,N/A,N/A,N/A,N/A,5.68%,12.96%,5.67%,-33.79%,-12.85%,-14.45%,-0.16%,50.25%,58.73,61.50,55.20,58.73,62.95,61.35,61.18,61.17,TRADEABLE,COMMODITIES
Commodities,COPPER,Copper,6.38324,USD,-3.22%,N/A,N/A,N/A,N/A,N/A,1.42%,3.91%,9.50%,24.87%,10.52%,35.61%,36.57%,205.13%,27.00,38.08,28.36,27.00,56.39,58.67,58.61,58.61,TRADEABLE,COMMODITIES
Commodities,GASOIL,London Gas Oil,1158.0,USD,0.39%,N/A,N/A,N/A,N/A,N/A,1.11%,2.38%,73.07%,59.00%,88.85%,86.23%,105.50%,164.99%,48.49,44.51,39.26,48.49,48.81,47.21,47.16,47.16,TRADEABLE,COMMODITIES
Commodities,PLATINUM,Platinum,2011.75,USD,-2.31%,N/A,N/A,N/A,N/A,N/A,-1.77%,-5.29%,-1.99%,30.35%,-4.07%,102.84%,63.90%,N/A,29.22,35.84,25.01,29.22,44.22,47.66,47.53,47.53,TRADEABLE,COMMODITIES
Commodities,HEATINGOIL,Heating Oil,3.8726,USD,0.41%,N/A,N/A,N/A,N/A,N/A,1.87%,5.94%,66.48%,56.65%,82.89%,81.01%,87.95%,163.91%,51.07,47.10,42.18,51.08,52.35,50.06,50.01,50.01,TRADEABLE,COMMODITIES
Commodities,PALLADIUM,Palladium,1426.3,USD,-1.46%,N/A,N/A,N/A,N/A,N/A,-3.67%,-9.52%,-15.31%,2.13%,-13.43%,48.62%,-50.63%,N/A,35.15,31.72,28.12,35.15,36.08,39.73,39.67,39.67,TRADEABLE,COMMODITIES
Commodities,GASOLINE,Gasoline,3.5457,USD,0.08%,N/A,N/A,N/A,N/A,N/A,2.74%,17.53%,72.67%,82.40%,107.17%,67.76%,64.28%,116.98%,52.49,51.14,47.62,52.49,61.80,58.36,58.31,58.32,TRADEABLE,COMMODITIES
Commodities,WHEAT,Wheat US,657.1,USD,-0.70%,N/A,N/A,N/A,N/A,N/A,5.54%,9.72%,N/A,17.95%,28.54%,22.52%,-6.10%,36.40%,34.48,50.48,24.24,34.50,60.25,58.92,58.78,58.79,TRADEABLE,COMMODITIES
Commodities,USCOTTON,Cotton,0.82299,USD,-2.19%,N/A,N/A,N/A,N/A,N/A,-3.02%,6.64%,N/A,28.47%,27.49%,23.70%,1.09%,32.31%,25.53,36.00,23.66,25.57,53.24,54.13,54.05,54.06,TRADEABLE,COMMODITIES
Commodities,ALUMINUM,Aluminium Spot,3608.3,USD,-1.06%,N/A,N/A,N/A,N/A,N/A,3.42%,-0.06%,N/A,29.06%,19.86%,46.11%,47.64%,N/A,43.79,53.17,38.23,43.79,49.72,58.37,58.08,58.08,TRADEABLE,COMMODITIES
Commodities,CORN,Corn,470.05,USD,0.13%,N/A,N/A,N/A,N/A,N/A,-0.42%,2.44%,N/A,5.22%,6.84%,6.62%,-27.96%,18.40%,36.95,39.28,31.14,36.96,56.10,50.66,50.49,50.48,TRADEABLE,COMMODITIES
Commodities,MZN3,Zinc,3525.0,USD,-1.51%,N/A,N/A,N/A,N/A,N/A,2.96%,4.02%,N/A,18.08%,12.79%,29.48%,N/A,N/A,40.08,52.67,32.96,40.07,58.61,63.01,62.92,62.92,TRADEABLE,COMMODITIES
Commodities,MCU3,Copper UK,13608.0,USD,-2.59%,N/A,N/A,N/A,N/A,N/A,0.60%,2.60%,N/A,26.51%,9.34%,41.88%,N/A,N/A,27.15,39.43,26.93,27.13,53.53,57.13,56.98,56.98,TRADEABLE,COMMODITIES
Commodities,SOYBEAN,Soybean,1187.6,USD,-0.24%,N/A,N/A,N/A,N/A,N/A,-1.16%,0.83%,N/A,2.49%,13.49%,13.39%,-25.19%,9.93%,33.33,35.95,26.70,33.35,50.53,48.34,48.39,48.42,TRADEABLE,COMMODITIES
Commodities,SOYBEANOIL,Soybean Oil,72.55,USD,-0.26%,N/A,N/A,N/A,N/A,N/A,-0.90%,7.77%,N/A,40.98%,47.04%,47.07%,5.19%,N/A,43.03,39.50,38.85,43.02,57.88,54.40,54.12,54.14,TRADEABLE,COMMODITIES
Commodities,LEAD,Lead,1995.7,USD,-0.29%,N/A,N/A,N/A,N/A,N/A,1.48%,2.02%,N/A,-1.63%,0.48%,0.12%,N/A,N/A,42.98,52.08,39.13,43.00,67.77,66.47,66.24,66.25,TRADEABLE,COMMODITIES
Commodities,SOYBEANMEAL,Soybean Meal,329.15,USD,-0.62%,N/A,N/A,N/A,N/A,N/A,3.29%,-0.76%,N/A,-1.17%,11.23%,10.77%,-20.67%,-10.82%,39.39,54.16,33.44,39.42,52.07,56.87,56.75,56.77,TRADEABLE,COMMODITIES
Commodities,OATS,Oats,366.34,USD,0.54%,N/A,N/A,N/A,N/A,N/A,4.34%,5.32%,N/A,14.07%,21.50%,8.48%,1.62%,86.43%,49.99,58.89,42.56,50.05,59.55,62.32,62.20,62.20,TRADEABLE,COMMODITIES
Commodities,RR,Rough Rice,12.829,USD,-0.12%,N/A,N/A,N/A,N/A,N/A,4.74%,14.55%,N/A,21.41%,31.47%,-1.13%,N/A,N/A,68.74,83.23,N/A,69.99,78.91,77.06,77.35,77.40,TRADEABLE,COMMODITIES
Commodities,USCOCOA,Cocoa US,4259.4,USD,-0.02%,N/A,N/A,N/A,N/A,N/A,-0.05%,19.28%,N/A,-21.11%,-27.91%,-58.88%,70.17%,N/A,41.29,50.19,N/A,40.47,60.28,60.71,60.61,60.57,CLOSED,COMMODITIES
