Category,Symbol,Name,Current Price,Currency,Price Change %,Perf % 30M,Perf % 1H,Perf % 4H,Perf % 6H,Perf % 1D,Perf % 1W,Perf % 1M,Perf % 3M,Perf % 6M,Perf % YTD,Perf % 1Y,Perf % 5Y,Perf % 10Y,RSI 1H,RSI 4H,RSI 24H,RSI 1W,RSI 1M,RSI 3M,RSI 6M,RSI YTD,Market Status,Type
Commodities,NATURALGAS,Natural Gas,2.756,USD,0.66%,N/A,N/A,N/A,N/A,N/A,-1.20%,-3.20%,-13.14%,-5.79%,-21.94%,-7.50%,-28.90%,N/A,57.90,49.97,62.87,57.89,47.60,45.24,45.23,45.23,TRADEABLE,COMMODITIES
Commodities,USCOCOA,Cocoa US,5988.1,USD,-1.61%,N/A,N/A,N/A,N/A,N/A,6.47%,7.19%,54.16%,94.46%,1.35%,-27.15%,134.28%,N/A,58.63,N/A,N/A,58.79,57.42,58.43,58.32,58.32,TRADEABLE,COMMODITIES
Commodities,COPPER,Copper,6.63189,USD,-0.93%,N/A,N/A,N/A,N/A,N/A,-1.15%,5.21%,4.38%,13.98%,14.83%,46.39%,63.89%,N/A,37.95,41.42,33.01,37.95,55.63,53.86,53.85,53.85,TRADEABLE,COMMODITIES
Commodities,HEATINGOIL,Heating Oil,4.3267,USD,-0.67%,N/A,N/A,N/A,N/A,N/A,2.66%,5.56%,11.97%,71.83%,104.33%,92.85%,N/A,N/A,N/A,N/A,N/A,N/A,60.49,63.64,63.65,63.65,TRADEABLE,COMMODITIES
Commodities,WHEAT,Wheat US,684.78,USD,-0.23%,N/A,N/A,N/A,N/A,N/A,6.47%,N/A,2.90%,20.41%,33.96%,31.28%,-5.87%,N/A,49.25,60.40,53.16,49.27,N/A,N/A,N/A,N/A,TRADEABLE,COMMODITIES
Commodities,GASOLINE,Gasoline,3.098,USD,0.44%,N/A,N/A,N/A,N/A,N/A,2.06%,-6.19%,-9.16%,40.96%,81.02%,N/A,48.84%,N/A,62.51,62.51,68.49,62.51,N/A,N/A,N/A,N/A,TRADEABLE,COMMODITIES
Commodities,PALLADIUM,Palladium,1322.2,USD,-0.23%,N/A,N/A,N/A,N/A,N/A,-3.06%,6.23%,N/A,N/A,-19.76%,18.60%,-42.57%,N/A,N/A,45.07,N/A,N/A,53.08,51.53,51.52,51.52,TRADEABLE,COMMODITIES
Commodities,LRC,Coffee UK,3667.1,USD,0.51%,N/A,N/A,N/A,N/A,N/A,-2.98%,-4.72%,12.27%,1.12%,-6.97%,-9.16%,99.41%,N/A,50.67,N/A,N/A,50.11,40.56,44.95,44.92,44.91,TRADEABLE,COMMODITIES
Commodities,SB,Sugar US,0.1802,USD,3.44%,N/A,N/A,N/A,N/A,N/A,4.77%,19.81%,20.70%,31.44%,25.31%,8.36%,N/A,N/A,76.01,76.75,N/A,75.89,81.50,80.00,80.13,80.13,TRADEABLE,COMMODITIES
Commodities,ALUMINUM,Aluminium Spot,3234.3,USD,-0.60%,N/A,N/A,N/A,N/A,N/A,N/A,3.44%,-10.61%,5.88%,7.44%,25.57%,27.11%,N/A,N/A,41.61,N/A,N/A,57.26,50.46,50.59,50.59,TRADEABLE,COMMODITIES
