Category,Symbol,Name,Current Price,Currency,Price Change %,Perf % 30M,Perf % 1H,Perf % 4H,Perf % 6H,Perf % 1D,Perf % 1W,Perf % 1M,Perf % 3M,Perf % 6M,Perf % YTD,Perf % 1Y,Perf % 5Y,Perf % 10Y,RSI 1H,RSI 4H,RSI 24H,RSI 1W,RSI 1M,RSI 3M,RSI 6M,RSI YTD,Market Status,Type
Cryptocurrencies,ETHUSD,Ethereum/USD,1875.99,USD,-0.41%,N/A,N/A,N/A,N/A,N/A,-1.90%,-2.08%,-13.91%,-4.52%,-37.45%,-58.76%,-43.27%,16785.78%,50.40,45.42,50.05,50.40,50.00,50.77,50.76,50.76,TRADEABLE,CRYPTOCURRENCIES
Cryptocurrencies,BTCUSD,Bitcoin/USD,62957.8,USD,-0.57%,N/A,N/A,N/A,N/A,N/A,-2.93%,-2.67%,-19.38%,-8.45%,-29.03%,-46.81%,34.05%,10820.14%,47.92,38.61,49.90,47.92,43.46,42.97,43.00,43.00,TRADEABLE,CRYPTOCURRENCIES
Cryptocurrencies,DOGEUSD,DogeCoin/USD,0.0696474,USD,-0.41%,N/A,N/A,N/A,N/A,N/A,0.32%,-5.69%,-36.13%,-31.97%,-44.87%,-68.83%,-79.04%,N/A,49.92,46.26,51.18,49.92,46.66,45.50,45.57,45.57,TRADEABLE,CRYPTOCURRENCIES
Cryptocurrencies,DOTUSD,Polkadot/USD,0.7606,USD,-1.08%,N/A,N/A,N/A,N/A,N/A,-6.83%,-9.95%,-39.81%,-43.79%,-61.79%,-80.88%,-96.68%,N/A,46.09,33.94,43.87,46.09,34.85,37.21,37.21,37.21,TRADEABLE,CRYPTOCURRENCIES
Cryptocurrencies,BTTUSD,BTT/USD,2.508e-07,USD,-1.49%,N/A,N/A,N/A,N/A,N/A,-2.03%,-5.71%,-19.87%,-25.58%,-34.17%,-62.00%,-99.99%,N/A,35.59,28.45,35.93,35.59,N/A,N/A,N/A,N/A,TRADEABLE,CRYPTOCURRENCIES
Cryptocurrencies,UNIUSD,Uniswap/USD,3.18905,USD,-7.91%,N/A,N/A,N/A,N/A,N/A,-19.65%,-11.61%,-8.24%,-7.87%,-44.89%,-70.63%,-89.22%,N/A,23.18,25.31,24.66,23.18,33.43,32.85,32.87,32.87,TRADEABLE,CRYPTOCURRENCIES
Cryptocurrencies,SUIUSD,SUI/USD,0.67429,USD,-1.15%,N/A,N/A,N/A,N/A,N/A,0.87%,-10.20%,-36.12%,-30.40%,-53.90%,-81.97%,N/A,N/A,44.18,42.90,42.43,44.18,40.74,42.26,42.31,42.31,TRADEABLE,CRYPTOCURRENCIES
Cryptocurrencies,HFTUSD,HFT/USD,0.00793,USD,-1.61%,N/A,N/A,N/A,N/A,N/A,-37.56%,-11.30%,-43.24%,-55.35%,-72.54%,-90.88%,N/A,N/A,44.45,N/A,44.28,44.45,45.18,44.91,44.91,44.91,TRADEABLE,CRYPTOCURRENCIES
Cryptocurrencies,XLMUSD,Stellar/USD,0.15909,USD,-0.02%,N/A,N/A,N/A,N/A,N/A,-1.12%,-15.31%,5.13%,-6.29%,-23.46%,-62.35%,-59.05%,N/A,50.77,45.08,50.05,50.77,29.94,33.12,32.97,32.97,TRADEABLE,CRYPTOCURRENCIES
Cryptocurrencies,ICPUSD,Internet Computer to US Dollar,2.2013,USD,1.93%,N/A,N/A,N/A,N/A,N/A,5.40%,1.53%,-14.57%,N/A,-26.22%,-59.42%,N/A,N/A,59.53,53.31,62.00,59.53,N/A,N/A,N/A,N/A,TRADEABLE,CRYPTOCURRENCIES
