Category,Symbol,Name,Current Price,Currency,Price Change %,Perf % 30M,Perf % 1H,Perf % 4H,Perf % 6H,Perf % 1D,Perf % 1W,Perf % 1M,Perf % 3M,Perf % 6M,Perf % YTD,Perf % 1Y,Perf % 5Y,Perf % 10Y,RSI 1H,RSI 4H,RSI 24H,RSI 1W,RSI 1M,RSI 3M,RSI 6M,RSI YTD,Market Status,Type
Forex,EURJPY,EUR/JPY,183.084,JPY,0.41%,N/A,N/A,N/A,N/A,N/A,1.00%,-0.83%,-1.04%,0.60%,-0.58%,6.46%,41.27%,61.95%,67.56,61.63,N/A,67.57,45.90,43.24,43.24,43.24,TRADEABLE,CURRENCIES
Forex,USDJPY,USD/JPY,158.434,JPY,0.43%,N/A,N/A,N/A,N/A,N/A,0.57%,-2.13%,0.49%,3.37%,1.09%,7.30%,43.54%,56.42%,62.42,53.74,N/A,62.43,37.97,36.33,36.29,36.29,TRADEABLE,CURRENCIES
Forex,USDCHF,USD/CHF,0.80851,CHF,0.11%,N/A,N/A,N/A,N/A,N/A,-0.23%,-0.11%,3.58%,4.84%,2.09%,0.13%,-12.27%,-17.02%,47.90,46.58,N/A,47.90,48.89,48.60,48.56,48.56,TRADEABLE,CURRENCIES
Forex,USDCAD,USD/CAD,1.39548,CAD,0.18%,N/A,N/A,N/A,N/A,N/A,-0.65%,-1.47%,1.88%,2.80%,1.73%,1.47%,11.58%,N/A,42.56,N/A,N/A,42.56,33.04,36.46,36.41,36.41,TRADEABLE,CURRENCIES
Forex,CHFJPY,CHF/JPY,195.964,JPY,0.43%,N/A,N/A,N/A,N/A,N/A,0.82%,-2.01%,-2.95%,N/A,N/A,7.18%,63.64%,N/A,68.23,N/A,N/A,68.24,39.31,37.43,37.42,37.42,TRADEABLE,CURRENCIES
Forex,EURAUD,EUR/AUD,1.6348,AUD,-0.03%,N/A,N/A,N/A,N/A,N/A,-0.58%,-0.48%,0.83%,N/A,-7.08%,-8.53%,N/A,12.08%,37.62,40.40,N/A,37.63,44.14,47.02,46.87,46.87,TRADEABLE,CURRENCIES
Forex,NZDUSD,NZD/USD,0.5889,USD,-0.05%,N/A,N/A,N/A,N/A,N/A,0.40%,2.29%,-1.04%,-2.61%,2.30%,N/A,-16.35%,-18.08%,56.04,57.83,N/A,56.03,N/A,N/A,N/A,N/A,TRADEABLE,CURRENCIES
Forex,AUDCAD,AUD/CAD,0.9863,CAD,0.14%,N/A,N/A,N/A,N/A,N/A,0.36%,0.33%,N/A,2.00%,7.68%,10.07%,6.99%,-0.40%,58.46,51.27,N/A,58.45,52.47,52.24,52.37,52.37,TRADEABLE,CURRENCIES
Forex,NZDJPY,NZD/JPY,93.306,JPY,0.36%,N/A,N/A,N/A,N/A,N/A,0.98%,0.12%,-0.55%,0.68%,3.43%,6.27%,N/A,N/A,N/A,60.68,N/A,N/A,51.87,48.12,48.15,48.15,TRADEABLE,CURRENCIES
Forex,EURCHF,EUR/CHF,0.93424,CHF,0.05%,N/A,N/A,N/A,N/A,N/A,0.19%,1.22%,N/A,2.02%,0.39%,N/A,N/A,-14.16%,N/A,53.44,N/A,N/A,63.55,62.61,62.62,62.62,TRADEABLE,CURRENCIES
