Category,Symbol,Name,Current Price,Currency,Price Change %,Perf % 30M,Perf % 1H,Perf % 4H,Perf % 6H,Perf % 1D,Perf % 1W,Perf % 1M,Perf % 3M,Perf % 6M,Perf % YTD,Perf % 1Y,Perf % 5Y,Perf % 10Y,RSI 1H,RSI 4H,RSI 24H,RSI 1W,RSI 1M,RSI 3M,RSI 6M,RSI YTD,Market Status,Type
Indices,DE40,Germany 40,26491.6,EUR,0.18%,N/A,N/A,N/A,N/A,N/A,0.68%,6.60%,8.80%,5.02%,8.07%,8.53%,65.93%,151.24%,57.49,57.64,N/A,57.49,72.63,68.67,68.62,68.62,TRADEABLE,INDICES
Indices,HK50,Hong Kong 50,25534.1,HKD,1.25%,N/A,N/A,N/A,N/A,N/A,-1.61%,3.85%,-0.49%,-4.46%,-0.22%,1.06%,-1.27%,11.32%,79.57,58.65,N/A,79.57,59.14,55.26,55.28,55.28,TRADEABLE,INDICES
Indices,CN50,China A50,15167.0,USD,1.41%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-2.04%,1.64%,-2.11%,5.74%,N/A,53.77%,76.10,66.07,N/A,76.10,55.58,52.24,52.20,52.20,TRADEABLE,INDICES
Indices,VIX,Volatility Index,17.92,USD,2.69%,N/A,N/A,N/A,N/A,N/A,-1.81%,-6.96%,-12.59%,-10.76%,4.19%,0.73%,-5.88%,58.02%,58.32,52.04,N/A,58.32,41.33,43.19,43.26,43.26,TRADEABLE,INDICES
Indices,AU200,Australia 200,9067.5,AUD,-0.09%,N/A,N/A,N/A,N/A,N/A,-1.75%,2.68%,N/A,-0.16%,4.20%,1.85%,N/A,64.07%,34.16,29.83,N/A,34.17,53.27,52.12,52.06,52.06,TRADEABLE,INDICES
Indices,DXY,US Dollar Index,99.167,USD,-0.16%,N/A,N/A,N/A,N/A,N/A,-0.33%,-1.35%,0.12%,1.81%,1.10%,1.80%,6.46%,4.93%,29.80,32.57,N/A,29.80,35.38,35.64,35.71,35.71,TRADEABLE,INDICES
Indices,SG25,Singapore 25,542.28,SGD,-0.09%,N/A,N/A,N/A,N/A,N/A,1.12%,N/A,18.51%,17.99%,21.02%,N/A,50.47%,73.26%,N/A,52.98,N/A,N/A,N/A,N/A,N/A,N/A,TRADEABLE,INDICES
Indices,SP35,Spain 35,20109.6,EUR,-0.06%,N/A,N/A,N/A,N/A,N/A,-0.12%,N/A,N/A,10.72%,15.21%,N/A,124.24%,137.97%,36.27,47.44,N/A,36.43,N/A,N/A,N/A,N/A,CLOSED,INDICES
Indices,SW20,Switzerland 20,14381.1,CHF,-0.01%,N/A,N/A,N/A,N/A,N/A,-1.55%,N/A,7.93%,4.07%,N/A,19.00%,15.35%,76.95%,36.28,36.83,N/A,36.38,54.98,50.34,50.51,50.52,CLOSED,INDICES
Indices,NL25,Netherlands 25,1119.35,EUR,0.05%,N/A,N/A,N/A,N/A,N/A,0.66%,N/A,9.91%,10.73%,15.31%,N/A,45.99%,149.45%,52.25,56.96,N/A,52.27,N/A,N/A,N/A,N/A,CLOSED,INDICES
Indices,NYFANG,US Fang,18656.0,USD,-0.01%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9.73%,N/A,19.70%,20.70%,N/A,N/A,39.80,55.14,N/A,39.75,64.86,63.31,63.27,63.27,CLOSED,INDICES
Indices,IT40,Italy 40,53645.0,EUR,0.01%,N/A,N/A,N/A,N/A,N/A,0.07%,N/A,11.12%,15.86%,17.82%,25.73%,103.52%,228.91%,45.03,51.42,N/A,44.95,61.90,59.54,59.47,59.47,CLOSED,INDICES
