Category,Symbol,Name,Current Price,Currency,Price Change %,Perf % 30M,Perf % 1H,Perf % 4H,Perf % 6H,Perf % 1D,Perf % 1W,Perf % 1M,Perf % 3M,Perf % 6M,Perf % YTD,Perf % 1Y,Perf % 5Y,Perf % 10Y,RSI 1H,RSI 4H,RSI 24H,RSI 1W,RSI 1M,RSI 3M,RSI 6M,RSI YTD,Market Status,Type
Shares,ADSGN,Adidas,164.75,EUR,3.71%,N/A,N/A,N/A,N/A,N/A,-8.24%,N/A,15.25%,8.71%,-1.52%,-1.35%,-50.86%,12.46%,53.36,43.54,N/A,53.55,34.12,38.54,38.62,38.62,TRADEABLE,SHARES
Shares,PRY,Prysmian,119.43,EUR,0.08%,N/A,N/A,N/A,N/A,N/A,-1.80%,N/A,-14.15%,18.49%,33.37%,69.84%,290.80%,479.76%,48.38,45.48,N/A,46.88,32.62,37.37,37.48,37.48,TRADEABLE,SHARES
Shares,ENRUS,Siemens Energy AG,147.99,EUR,0.00%,N/A,N/A,N/A,N/A,N/A,-0.36%,N/A,-18.62%,-0.47%,20.60%,49.38%,N/A,N/A,58.42,51.72,N/A,56.47,39.56,46.27,46.57,46.57,TRADEABLE,SHARES
Shares,ZAL,Zalando,28.66,EUR,0.67%,N/A,N/A,N/A,N/A,N/A,0.07%,N/A,36.64%,32.65%,16.15%,11.91%,-70.57%,-13.74%,41.96,50.47,N/A,41.50,N/A,N/A,N/A,N/A,TRADEABLE,SHARES
Shares,GRG,Greggs,19.4005,GBP,4.02%,N/A,N/A,N/A,N/A,N/A,18.85%,N/A,32.97%,15.14%,15.55%,20.43%,-28.33%,-98.09%,58.66,66.97,N/A,59.01,72.08,68.40,68.18,68.19,TRADEABLE,SHARES
Shares,BMW,BMW,60.03,EUR,1.40%,N/A,N/A,N/A,N/A,N/A,4.18%,N/A,-22.12%,-33.92%,-37.53%,-26.87%,-26.11%,-22.96%,55.13,58.26,N/A,56.02,51.80,50.03,50.44,50.44,TRADEABLE,SHARES
Shares,MBGN,Mercedes Benz Group,47.94,EUR,2.63%,N/A,N/A,N/A,N/A,N/A,5.25%,N/A,-0.31%,-21.35%,-22.60%,-1.54%,-36.85%,-6.22%,66.43,66.80,N/A,66.82,N/A,N/A,N/A,N/A,TRADEABLE,SHARES
Shares,VOW3,Volkswagen AG (Pfd),76.35,EUR,2.62%,N/A,N/A,N/A,N/A,N/A,7.61%,N/A,-9.48%,-27.84%,-28.14%,-13.68%,-62.48%,-37.21%,63.69,65.44,N/A,64.23,55.54,54.57,54.50,54.50,TRADEABLE,SHARES
Shares,0813,Shimao Property,0.06,HKD,0.00%,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,-62.50%,-75.00%,-68.42%,-91.67%,-99.62%,-99.41%,51.25,47.20,N/A,N/A,28.33,36.97,37.67,37.71,CLOSED,SHARES
Shares,CWR,Ceres Power Holdings PLC,3.3925,GBP,-2.02%,N/A,N/A,N/A,N/A,N/A,-8.46%,N/A,-54.44%,18.09%,59.22%,187.45%,N/A,N/A,45.04,43.74,N/A,44.02,29.94,34.87,35.36,35.36,TRADEABLE,SHARES
Shares,9988,Alibaba Group Holding Ltd - HKD,124.8,HKD,6.85%,N/A,N/A,N/A,N/A,N/A,12.74%,N/A,-4.66%,-21.56%,-15.85%,7.59%,-34.86%,N/A,76.33,69.72,N/A,77.05,77.12,66.59,66.71,66.71,CLOSED,SHARES
Shares,SOI,Soitec,106.29,EUR,2.56%,N/A,N/A,N/A,N/A,N/A,-0.84%,N/A,-32.25%,249.98%,328.24%,193.13%,-48.81%,659.21%,53.41,53.48,N/A,50.82,46.19,49.70,49.90,49.90,TRADEABLE,SHARES
Shares,BP.,BP - GBP,5.438,GBP,-1.04%,N/A,N/A,N/A,N/A,N/A,1.57%,N/A,-4.95%,13.86%,24.52%,34.01%,79.18%,-98.70%,51.24,56.66,N/A,52.70,70.34,59.99,59.88,59.89,TRADEABLE,SHARES
Shares,RMS,Hermes,1555.9,EUR,1.53%,N/A,N/A,N/A,N/A,N/A,-6.79%,N/A,-1.61%,-23.39%,-26.05%,-25.62%,16.77%,304.39%,52.51,42.13,N/A,51.98,N/A,N/A,N/A,N/A,TRADEABLE,SHARES
Shares,WLN,Worldline,12.951,EUR,4.89%,N/A,N/A,N/A,N/A,N/A,31.65%,N/A,N/A,-75.66%,-80.01%,N/A,-99.59%,-98.82%,79.62,78.99,N/A,79.85,71.20,69.40,68.72,68.72,TRADEABLE,SHARES
Shares,BESI,BE Semiconductor Industries,199.995,EUR,1.65%,N/A,N/A,N/A,N/A,N/A,-2.10%,N/A,-21.09%,27.19%,N/A,69.52%,157.79%,1391.05%,53.09,40.09,N/A,51.77,33.28,34.03,34.10,34.09,TRADEABLE,SHARES
Shares,UBIP,Ubisoft Entertainment,5.65,EUR,-0.53%,N/A,N/A,N/A,N/A,N/A,8.03%,N/A,18.70%,36.14%,-9.89%,-34.45%,N/A,N/A,47.56,55.55,N/A,47.77,51.27,54.87,54.89,54.88,TRADEABLE,SHARES
Shares,ASMI,ASM International NV,796.6,EUR,-0.77%,N/A,N/A,N/A,N/A,N/A,0.35%,N/A,-5.39%,19.44%,43.99%,90.90%,153.88%,2487.20%,50.53,46.33,N/A,48.56,37.11,40.73,40.82,40.82,TRADEABLE,SHARES
Shares,CLN,Clariant,9.53,CHF,4.50%,N/A,N/A,N/A,N/A,N/A,29.13%,N/A,16.36%,16.08%,N/A,16.36%,-49.15%,-41.43%,75.01,80.25,N/A,74.95,81.56,80.84,81.18,81.18,TRADEABLE,SHARES
Shares,STMPA,STMicroelectronics,45.54,EUR,0.11%,N/A,N/A,N/A,N/A,N/A,-0.85%,N/A,-6.87%,87.09%,94.61%,109.77%,28.66%,N/A,48.88,40.07,N/A,48.13,N/A,N/A,N/A,N/A,TRADEABLE,SHARES
